sp_notation,determinand,n_observations
SW-50590008,0162,2
SW-50590008,0664,36
SW-50590008,3164,1
SW-50590008,6037,1
SW-50590008,6057,1
SW-50590008,6396,2
SW-50590008,6452,1
SW-50590008,6455,1
SW-50590008,6462,1
SW-50590008,7434,3
SW-50590008,7668,1
SW-50590127,0037,1
SW-50590127,0039,1
SW-50590127,0050,292
SW-50590127,0052,282
SW-50590127,0061,302
SW-50590127,0062,84
SW-50590127,0072,79
SW-50590127,0073,24
SW-50590127,0076,303
SW-50590127,0077,215
SW-50590127,0085,281
SW-50590127,0092,169
SW-50590127,0099,66
SW-50590127,0103,271
SW-50590127,0105,278
SW-50590127,0106,270
SW-50590127,0108,279
SW-50590127,0111,299
SW-50590127,0116,297
SW-50590127,0117,297
SW-50590127,0118,298
SW-50590127,0119,296
SW-50590127,0135,261
SW-50590127,0143,162
SW-50590127,0158,49
SW-50590127,0162,282
SW-50590127,0163,4
SW-50590127,0164,5
SW-50590127,0172,277
SW-50590127,0174,11
SW-50590127,0175,3
SW-50590127,0177,169
SW-50590127,0180,297
SW-50590127,0182,277
SW-50590127,0183,278
SW-50590127,0192,99
SW-50590127,0205,257
SW-50590127,0207,279
SW-50590127,0209,257
SW-50590127,0211,279
SW-50590127,0235,265
SW-50590127,0237,257
SW-50590127,0239,265
SW-50590127,0241,257
SW-50590127,0301,212
SW-50590127,0348,295
SW-50590127,0461,168
SW-50590127,0463,169
SW-50590127,0483,132
SW-50590127,0487,118
SW-50590127,0491,122
SW-50590127,0495,20
SW-50590127,0499,259
SW-50590127,0503,12
SW-50590127,0507,119
SW-50590127,0511,183
SW-50590127,0527,19
SW-50590127,0535,112
SW-50590127,0539,13
SW-50590127,0543,100
SW-50590127,0551,131
SW-50590127,0555,131
SW-50590127,0559,132
SW-50590127,0562,183
SW-50590127,0569,12
SW-50590127,0570,114
SW-50590127,0573,15
SW-50590127,0575,12
SW-50590127,0576,48
SW-50590127,0577,1
SW-50590127,0578,1
SW-50590127,0579,1
SW-50590127,0581,15
SW-50590127,0664,134
SW-50590127,0714,128
SW-50590127,0723,18
SW-50590127,0729,34
SW-50590127,0731,130
SW-50590127,0733,130
SW-50590127,0736,121
SW-50590127,0746,129
SW-50590127,0749,105
SW-50590127,0753,153
SW-50590127,0772,16
SW-50590127,0790,6
SW-50590127,1049,53
SW-50590127,1085,56
SW-50590127,1109,12
SW-50590127,1118,100
SW-50590127,1119,100
SW-50590127,1120,29
SW-50590127,1183,25
SW-50590127,2348,14
SW-50590127,2921,13
SW-50590127,2922,13
SW-50590127,2923,11
SW-50590127,2924,14
SW-50590127,2925,13
SW-50590127,2926,12
SW-50590127,2942,14
SW-50590127,2943,14
SW-50590127,2944,14
SW-50590127,2953,14
SW-50590127,2955,14
SW-50590127,2957,14
SW-50590127,2959,14
SW-50590127,2960,14
SW-50590127,2961,14
SW-50590127,2962,14
SW-50590127,2963,14
SW-50590127,2964,14
SW-50590127,2965,14
SW-50590127,2967,14
SW-50590127,2968,14
SW-50590127,2969,14
SW-50590127,2970,14
SW-50590127,2972,14
SW-50590127,2973,14
SW-50590127,2975,14
SW-50590127,2977,14
SW-50590127,2981,14
SW-50590127,2982,14
SW-50590127,2983,14
SW-50590127,2984,14
SW-50590127,2987,14
SW-50590127,2988,13
SW-50590127,2989,13
SW-50590127,2990,14
SW-50590127,2991,14
SW-50590127,2993,14
SW-50590127,2995,13
SW-50590127,3001,112
SW-50590127,3002,111
SW-50590127,3004,16
SW-50590127,3007,14
SW-50590127,3009,18
SW-50590127,3021,32
SW-50590127,3023,32
SW-50590127,3086,16
SW-50590127,3113,1
SW-50590127,3117,16
SW-50590127,3118,16
SW-50590127,3119,1
SW-50590127,3126,29
SW-50590127,3127,29
SW-50590127,3130,16
SW-50590127,3164,170
SW-50590127,3267,28
SW-50590127,3268,52
SW-50590127,3269,26
SW-50590127,3272,70
SW-50590127,3282,25
SW-50590127,3283,26
SW-50590127,3290,26
SW-50590127,3292,26
SW-50590127,3299,40
SW-50590127,3328,55
SW-50590127,3334,55
SW-50590127,3341,28
SW-50590127,3342,28
SW-50590127,3343,28
SW-50590127,3373,70
SW-50590127,3377,34
SW-50590127,3399,16
SW-50590127,3400,16
SW-50590127,3401,11
SW-50590127,3408,282
SW-50590127,3409,282
SW-50590127,3410,282
SW-50590127,3472,17
SW-50590127,3475,16
SW-50590127,3478,18
SW-50590127,3545,11
SW-50590127,3546,6
SW-50590127,3547,6
SW-50590127,3548,6
SW-50590127,3549,5
SW-50590127,3550,6
SW-50590127,3551,6
SW-50590127,3552,6
SW-50590127,3555,6
SW-50590127,3683,81
SW-50590127,3722,14
SW-50590127,3723,14
SW-50590127,3781,41
SW-50590127,3783,25
SW-50590127,3784,26
SW-50590127,3790,6
SW-50590127,3791,6
SW-50590127,3792,6
SW-50590127,3811,16
SW-50590127,3878,31
SW-50590127,3915,4
SW-50590127,3925,16
SW-50590127,4049,26
SW-50590127,4064,6
SW-50590127,4065,6
SW-50590127,4117,26
SW-50590127,4201,30
SW-50590127,4370,6
SW-50590127,4621,28
SW-50590127,4820,25
SW-50590127,4821,25
SW-50590127,4822,25
SW-50590127,4994,91
SW-50590127,5042,16
SW-50590127,5047,16
SW-50590127,5050,16
SW-50590127,5157,19
SW-50590127,5234,25
SW-50590127,5446,21
SW-50590127,5558,28
SW-50590127,5560,28
SW-50590127,5561,28
SW-50590127,5562,28
SW-50590127,5568,26
SW-50590127,5732,30
SW-50590127,5861,1
SW-50590127,5862,1
SW-50590127,5863,28
SW-50590127,5889,26
SW-50590127,6037,30
SW-50590127,6038,152
SW-50590127,6040,169
SW-50590127,6045,226
SW-50590127,6046,266
SW-50590127,6047,125
SW-50590127,6049,119
SW-50590127,6050,267
SW-50590127,6051,266
SW-50590127,6057,279
SW-50590127,6059,120
SW-50590127,6061,169
SW-50590127,6376,26
SW-50590127,6396,268
SW-50590127,6399,130
SW-50590127,6447,19
SW-50590127,6449,6
SW-50590127,6450,284
SW-50590127,6452,292
SW-50590127,6453,7
SW-50590127,6455,294
SW-50590127,6458,270
SW-50590127,6460,271
SW-50590127,6462,282
SW-50590127,6515,14
SW-50590127,6534,26
SW-50590127,6537,26
SW-50590127,6538,26
SW-50590127,6539,26
SW-50590127,6540,26
SW-50590127,6541,26
SW-50590127,6542,26
SW-50590127,6543,25
SW-50590127,6544,26
SW-50590127,6547,26
SW-50590127,6552,5
SW-50590127,6554,5
SW-50590127,6569,28
SW-50590127,6577,28
SW-50590127,6578,26
SW-50590127,6579,26
SW-50590127,6583,5
SW-50590127,6584,25
SW-50590127,6594,3
SW-50590127,6603,19
SW-50590127,6604,26
SW-50590127,6605,25
SW-50590127,6615,18
SW-50590127,6619,8
SW-50590127,6620,6
SW-50590127,6648,33
SW-50590127,6656,26
SW-50590127,6658,26
SW-50590127,6659,26
SW-50590127,6666,1
SW-50590127,6671,6
SW-50590127,6672,6
SW-50590127,6673,6
SW-50590127,6690,26
SW-50590127,6693,30
SW-50590127,6697,26
SW-50590127,6711,26
SW-50590127,6715,26
SW-50590127,6716,26
SW-50590127,6724,20
SW-50590127,6744,25
SW-50590127,6753,15
SW-50590127,6760,16
SW-50590127,6841,132
SW-50590127,6955,16
SW-50590127,6971,16
SW-50590127,6972,16
SW-50590127,6980,16
SW-50590127,6987,16
SW-50590127,7025,6
SW-50590127,7053,16
SW-50590127,7086,19
SW-50590127,7125,6
SW-50590127,7135,1
SW-50590127,7299,1
SW-50590127,7317,2
SW-50590127,7325,16
SW-50590127,7395,16
SW-50590127,7434,1
SW-50590127,7531,26
SW-50590127,7574,26
SW-50590127,7726,6
SW-50590127,7859,112
SW-50590127,7864,16
SW-50590127,7887,220
SW-50590127,7888,19
SW-50590127,8049,5
SW-50590127,8050,5
SW-50590127,8162,3
SW-50590127,8287,1
SW-50590127,8310,16
SW-50590127,8311,16
SW-50590127,8342,1
SW-50590127,8360,16
SW-50590127,8806,16
SW-50590127,8807,16
SW-50590127,8847,25
SW-50590127,8864,20
SW-50590127,8865,20
SW-50590127,8887,14
SW-50590127,8888,14
SW-50590127,8889,14
SW-50590127,8890,14
SW-50590127,8891,14
SW-50590127,8892,14
SW-50590127,8893,14
SW-50590127,8894,14
SW-50590127,8895,14
SW-50590127,8940,16
SW-50590127,8942,1
SW-50590127,8944,39
SW-50590127,8995,1
SW-50590127,8999,18
SW-50590127,9003,16
SW-50590127,9005,27
SW-50590127,9007,20
SW-50590127,9009,20
SW-50590127,9011,28
SW-50590127,9013,28
SW-50590127,9015,28
SW-50590127,9017,28
SW-50590127,9019,28
SW-50590127,9021,20
SW-50590127,9050,50
SW-50590127,9051,60
SW-50590127,9052,50
SW-50590127,9068,6
SW-50590127,9073,16
SW-50590127,9091,28
SW-50590127,9094,28
SW-50590127,9145,26
SW-50590127,9190,26
SW-50590127,9196,1
SW-50590127,9197,1
SW-50590127,9198,1
SW-50590127,9199,1
SW-50590127,9238,5
SW-50590127,9239,5
SW-50590127,9248,28
SW-50590127,9258,1
SW-50590127,9267,26
SW-50590127,9274,16
SW-50590127,9276,16
SW-50590127,9339,16
SW-50590127,9341,44
SW-50590127,9342,43
SW-50590127,9343,16
SW-50590127,9344,16
SW-50590127,9345,16
SW-50590127,9348,16
SW-50590127,9350,1
SW-50590127,9446,30
SW-50590127,9447,126
SW-50590127,9451,28
SW-50590127,9453,28
SW-50590127,9454,28
SW-50590127,9456,26
SW-50590127,9457,26
SW-50590127,9458,26
SW-50590127,9466,1
SW-50590127,9467,1
SW-50590127,9468,1
SW-50590127,9477,1
SW-50590127,9494,42
SW-50590127,9496,25
SW-50590127,9522,28
SW-50590127,9618,26
SW-50590127,9619,26
SW-50590127,9669,15
SW-50590127,9671,16
SW-50590127,9684,26
SW-50590127,9686,149
SW-50590127,9703,28
SW-50590127,9715,101
SW-50590127,9716,112
SW-50590127,9756,16
SW-50590127,9768,161
SW-50590127,9769,159
SW-50590127,9770,163
SW-50590127,9771,162
SW-50590127,9772,161
SW-50590127,9773,161
SW-50590127,9774,158
SW-50590127,9811,26
SW-50590127,9814,28
SW-50590127,9815,28
SW-50590127,9816,27
SW-50590127,9817,28
SW-50590127,9818,28
SW-50590127,9819,28
SW-50590127,9836,25
SW-50590127,9839,25
SW-50590127,9844,25
SW-50590127,9845,26
SW-50590127,9861,16
SW-50590127,9863,100
SW-50590127,9883,6
SW-50590127,9885,157
SW-50590127,9888,26
SW-50590127,9892,18
SW-50590127,9901,300
SW-50590127,9924,299
SW-50590127,9978,12
SW-50590127,9989,114
SW-50590127,9990,1
SW-50590144,0085,143
SW-50590144,0111,143
SW-50590144,0135,143
SW-50590144,1181,1
SW-50590144,1183,36
SW-50590144,3267,36
SW-50590144,4883,1
SW-50590144,6515,4
SW-50590144,7668,2
SW-50590188,0061,226
SW-50590188,0062,3
SW-50590188,0076,209
SW-50590188,0077,120
SW-50590188,0085,164
SW-50590188,0103,1
SW-50590188,0105,1
SW-50590188,0111,207
SW-50590188,0113,24
SW-50590188,0114,24
SW-50590188,0116,205
SW-50590188,0117,205
SW-50590188,0118,207
SW-50590188,0119,207
SW-50590188,0135,153
SW-50590188,0158,35
SW-50590188,0162,195
SW-50590188,0163,3
SW-50590188,0164,3
SW-50590188,0180,205
SW-50590188,0182,28
SW-50590188,0192,24
SW-50590188,0211,58
SW-50590188,0235,25
SW-50590188,0237,35
SW-50590188,0239,33
SW-50590188,0241,35
SW-50590188,0301,90
SW-50590188,0348,24
SW-50590188,0664,116
SW-50590188,0729,27
SW-50590188,1181,1
SW-50590188,1183,102
SW-50590188,3267,103
SW-50590188,3683,80
SW-50590188,4820,6
SW-50590188,6396,7
SW-50590188,6450,142
SW-50590188,6455,142
SW-50590188,6458,11
SW-50590188,6460,47
SW-50590188,6515,13
SW-50590188,6841,116
SW-50590188,9686,24
SW-50590188,9901,207
SW-50590188,9924,207
SW-50590203,0061,139
SW-50590203,0076,112
SW-50590203,0077,31
SW-50590203,0085,79
SW-50590203,0111,110
SW-50590203,0116,110
SW-50590203,0117,110
SW-50590203,0118,110
SW-50590203,0119,110
SW-50590203,0135,24
SW-50590203,0158,18
SW-50590203,0162,72
SW-50590203,0163,1
SW-50590203,0164,1
SW-50590203,0180,110
SW-50590203,0182,24
SW-50590203,0191,1
SW-50590203,0211,58
SW-50590203,0235,12
SW-50590203,0237,18
SW-50590203,0239,19
SW-50590203,0241,18
SW-50590203,0301,19
SW-50590203,0348,10
SW-50590203,0729,23
SW-50590203,1183,83
SW-50590203,3267,83
SW-50590203,3683,75
SW-50590203,4820,6
SW-50590203,6450,30
SW-50590203,6455,30
SW-50590203,6458,7
SW-50590203,6460,37
SW-50590203,6515,14
SW-50590203,9856,10
SW-50590203,9901,110
SW-50590203,9924,110
SW-50590229,0061,266
SW-50590229,0076,29
SW-50590229,0085,560
SW-50590229,0092,249
SW-50590229,0105,4
SW-50590229,0111,316
SW-50590229,0116,29
SW-50590229,0117,29
SW-50590229,0118,29
SW-50590229,0119,29
SW-50590229,0135,316
SW-50590229,0172,6
SW-50590229,0180,29
SW-50590229,0348,282
SW-50590229,1181,4
SW-50590229,1183,104
SW-50590229,3267,104
SW-50590229,3683,29
SW-50590229,4840,18
SW-50590229,4842,18
SW-50590229,4883,1
SW-50590229,6051,234
SW-50590229,6515,12
SW-50590907,0061,64
SW-50590907,0076,64
SW-50590907,0077,52
SW-50590907,0085,12
SW-50590907,0103,1
SW-50590907,0105,31
SW-50590907,0111,64
SW-50590907,0116,64
SW-50590907,0117,64
SW-50590907,0118,64
SW-50590907,0119,64
SW-50590907,0135,12
SW-50590907,0162,64
SW-50590907,0180,64
SW-50590907,0182,12
SW-50590907,0270,1
SW-50590907,0729,11
SW-50590907,1183,12
SW-50590907,3267,12
SW-50590907,3683,12
SW-50590907,6515,12
SW-50590907,8394,1
SW-50590907,9589,1
SW-50590907,9901,64
SW-50590907,9924,64
SW-50599999,0050,3
SW-50599999,0061,21
SW-50599999,0062,1
SW-50599999,0076,16
SW-50599999,0077,4
SW-50599999,0085,55
SW-50599999,0092,21
SW-50599999,0105,1
SW-50599999,0108,3
SW-50599999,0111,56
SW-50599999,0116,42
SW-50599999,0117,6
SW-50599999,0118,21
SW-50599999,0119,5
SW-50599999,0135,46
SW-50599999,0138,1
SW-50599999,0162,4
SW-50599999,0166,2
SW-50599999,0172,49
SW-50599999,0177,1
SW-50599999,0180,42
SW-50599999,0183,1
SW-50599999,0204,1
SW-50599999,0207,1
SW-50599999,0208,1
SW-50599999,0211,1
SW-50599999,0212,1
SW-50599999,0216,2
SW-50599999,0220,1
SW-50599999,0234,1
SW-50599999,0237,1
SW-50599999,0238,1
SW-50599999,0241,1
SW-50599999,0242,2
SW-50599999,0246,2
SW-50599999,0250,1
SW-50599999,0254,2
SW-50599999,0258,2
SW-50599999,0270,2
SW-50599999,0284,1
SW-50599999,0288,1
SW-50599999,0292,1
SW-50599999,0301,1
SW-50599999,0317,1
SW-50599999,0325,1
SW-50599999,0329,2
SW-50599999,0349,1
SW-50599999,0353,1
SW-50599999,0357,2
SW-50599999,0361,2
SW-50599999,0376,2
SW-50599999,0380,2
SW-50599999,0384,2
SW-50599999,0404,1
SW-50599999,0422,2
SW-50599999,0426,2
SW-50599999,0430,2
SW-50599999,0603,2
SW-50599999,0666,1
SW-50599999,0715,2
SW-50599999,0737,2
SW-50599999,0749,1
SW-50599999,1012,2
SW-50599999,1188,1
SW-50599999,3106,1
SW-50599999,3143,2
SW-50599999,3146,2
SW-50599999,3149,2
SW-50599999,3152,2
SW-50599999,3155,2
SW-50599999,3158,2
SW-50599999,3161,2
SW-50599999,3164,3
SW-50599999,3372,5
SW-50599999,3401,2
SW-50599999,3557,2
SW-50599999,3680,2
SW-50599999,3681,2
SW-50599999,3682,2
SW-50599999,3794,2
SW-50599999,3798,2
SW-50599999,3800,2
SW-50599999,3804,2
SW-50599999,3806,2
SW-50599999,3813,2
SW-50599999,4068,1
SW-50599999,4084,1
SW-50599999,4927,2
SW-50599999,5000,2
SW-50599999,5332,1
SW-50599999,5333,1
SW-50599999,5712,1
SW-50599999,5713,1
SW-50599999,5714,1
SW-50599999,5715,1
SW-50599999,5716,1
SW-50599999,5720,1
SW-50599999,5722,1
SW-50599999,5723,1
SW-50599999,5727,1
SW-50599999,5729,1
SW-50599999,6030,1
SW-50599999,6037,2
SW-50599999,6040,1
SW-50599999,6046,1
SW-50599999,6049,2
SW-50599999,6050,1
SW-50599999,6051,1
SW-50599999,6054,1
SW-50599999,6057,4
SW-50599999,6058,1
SW-50599999,6059,1
SW-50599999,6060,1
SW-50599999,6061,1
SW-50599999,6062,1
SW-50599999,6063,1
SW-50599999,6064,1
SW-50599999,6373,1
SW-50599999,6396,20
SW-50599999,6400,2
SW-50599999,6452,3
SW-50599999,6455,3
SW-50599999,6462,3
SW-50599999,6473,1
SW-50599999,7221,2
SW-50599999,7235,1
SW-50599999,7259,2
SW-50599999,7337,2
SW-50599999,7347,2
SW-50599999,7434,56
SW-50599999,7612,1
SW-50599999,7706,1
SW-50599999,7771,2
SW-50599999,7773,2
SW-50599999,7781,2
SW-50599999,7924,1
SW-50599999,8106,1
SW-50599999,8107,1
SW-50599999,8115,1
SW-50599999,8238,1
SW-50599999,8246,1
SW-50599999,8273,1
SW-50599999,8292,1
SW-50599999,8350,1
SW-50599999,8382,2
SW-50599999,8394,2
SW-50599999,8430,1
SW-50599999,8462,1
SW-50599999,8470,1
SW-50599999,8511,1
SW-50599999,8627,2
SW-50599999,8726,1
SW-50599999,8776,2
SW-50599999,9337,2
SW-50599999,9484,2
SW-50599999,9573,1
SW-50599999,9589,2
SW-50599999,9696,1
SW-50599999,9855,1
SW-50599999,9864,1
SW-50599999,9865,1
SW-50599999,9866,1
SW-50599999,9868,1
SW-50599999,9870,1
SW-50599999,9871,1
SW-50599999,9901,16
SW-50599999,9924,2
SW-50599999,9942,2
SW-50599999,9987,2
SW-50900130,2927,3
SW-50900130,2928,3
SW-50900130,2929,3
SW-50900130,2930,3
SW-50900130,2931,3
SW-50900130,2932,3
SW-50900130,2933,3
SW-50900130,2934,3
SW-50900712,0061,268
SW-50900712,0062,2
SW-50900712,0076,271
SW-50900712,0077,209
SW-50900712,0085,109
SW-50900712,0092,18
SW-50900712,0111,266
SW-50900712,0116,263
SW-50900712,0117,263
SW-50900712,0118,266
SW-50900712,0119,266
SW-50900712,0135,19
SW-50900712,0158,20
SW-50900712,0162,229
SW-50900712,0172,18
SW-50900712,0180,266
SW-50900712,0182,26
SW-50900712,0211,52
SW-50900712,0237,20
SW-50900712,0241,20
SW-50900712,0301,61
SW-50900712,0348,64
SW-50900712,1181,1
SW-50900712,1183,79
SW-50900712,2348,14
SW-50900712,3028,20
SW-50900712,3267,79
SW-50900712,3461,24
SW-50900712,3683,53
SW-50900712,3722,14
SW-50900712,3723,14
SW-50900712,6423,24
SW-50900712,6450,96
SW-50900712,6455,96
SW-50900712,7609,2
SW-50900712,7887,26
SW-50900712,9901,268
SW-50900712,9924,268
SW-50900712,9933,24
SW-50900722,0061,29
SW-50900722,0076,28
SW-50900722,0085,397
SW-50900722,0092,84
SW-50900722,0111,312
SW-50900722,0116,29
SW-50900722,0117,29
SW-50900722,0118,29
SW-50900722,0119,28
SW-50900722,0135,312
SW-50900722,0180,29
SW-50900722,0348,52
SW-50900722,1183,102
SW-50900722,3267,102
SW-50900722,3683,29
SW-50900722,4840,16
SW-50900722,4842,16
SW-50900722,4883,1
SW-50900722,6051,52
SW-50900722,6515,13
SW-50900722,7668,4
SW-50900956,0085,309
SW-50900956,0111,309
SW-50900956,0135,309
SW-50900956,1183,101
SW-50900956,3267,101
SW-50900956,6515,13
SW-50900956,7668,5
SW-50908888,0050,2
SW-50908888,0061,10
SW-50908888,0076,6
SW-50908888,0077,2
SW-50908888,0085,23
SW-50908888,0092,2
SW-50908888,0108,2
SW-50908888,0111,24
SW-50908888,0116,24
SW-50908888,0117,15
SW-50908888,0118,15
SW-50908888,0119,4
SW-50908888,0135,14
SW-50908888,0162,2
SW-50908888,0172,20
SW-50908888,0180,24
SW-50908888,0301,1
SW-50908888,0664,2
SW-50908888,0666,2
SW-50908888,1181,4
SW-50908888,1183,2
SW-50908888,3164,2
SW-50908888,3267,2
SW-50908888,3372,3
SW-50908888,3683,2
SW-50908888,6051,2
SW-50908888,6396,6
SW-50908888,6450,1
SW-50908888,6452,2
SW-50908888,6455,3
SW-50908888,6462,2
SW-50908888,6515,5
SW-50908888,7434,12
SW-50908888,7888,2
SW-50908888,9901,6
SW-50908888,9924,6
SW-50909999,0061,8
SW-50909999,0076,11
SW-50909999,0077,4
SW-50909999,0085,19
SW-50909999,0111,19
SW-50909999,0116,19
SW-50909999,0117,1
SW-50909999,0118,8
SW-50909999,0119,3
SW-50909999,0135,9
SW-50909999,0172,19
SW-50909999,0180,19
SW-50909999,0664,2
SW-50909999,0666,2
SW-50909999,1066,1
SW-50909999,3106,2
SW-50909999,3372,5
SW-50909999,3401,3
SW-50909999,6051,1
SW-50909999,6396,9
SW-50909999,6515,1
SW-50909999,7434,19
SW-50909999,7612,2
SW-50909999,8430,2
SW-50909999,9901,10
SW-50950147,0061,2
SW-50950147,0085,200
SW-50950147,0111,201
SW-50950147,0116,4
SW-50950147,0117,4
SW-50950147,0118,4
SW-50950147,0135,199
SW-50950147,0172,3
SW-50950147,0180,4
SW-50950147,1183,28
SW-50950147,3267,30
SW-50950147,3683,1
SW-50950147,6515,3
SW-50950147,7668,7
SW-50950270,0028,182
SW-50950270,0061,128
SW-50950270,0067,163
SW-50950270,0076,181
SW-50950270,0461,3
SW-50950270,0463,2
SW-50950270,0664,184
SW-50950270,1181,1
SW-50950270,1183,174
SW-50950270,2331,244
SW-50950270,2348,263
SW-50950270,2551,174
SW-50950270,3017,120
SW-50950270,3018,143
SW-50950270,3019,199
SW-50950270,3020,60
SW-50950270,3021,60
SW-50950270,3022,60
SW-50950270,3023,60
SW-50950270,3024,143
SW-50950270,3025,160
SW-50950270,3026,172
SW-50950270,3027,172
SW-50950270,3028,79
SW-50950270,3124,4
SW-50950270,3458,243
SW-50950270,3461,245
SW-50950270,3700,81
SW-50950270,3722,263
SW-50950270,3723,263
SW-50950270,3724,71
SW-50950270,4823,326
SW-50950270,4824,325
SW-50950270,4825,62
SW-50950270,4826,326
SW-50950270,4827,326
SW-50950270,4828,62
SW-50950270,6423,244
SW-50950270,6515,4
SW-50950270,6841,184
SW-50950270,7413,22
SW-50950270,7608,261
SW-50950270,7609,93
SW-50950270,8046,285
SW-50950270,9156,348
SW-50950270,9161,326
SW-50950270,9638,184
SW-50950270,9688,184
SW-50950270,9690,1
SW-50950270,9691,264
SW-50950270,9933,245
SW-50950270,9995,18
SW-50950300,0028,191
SW-50950300,0061,140
SW-50950300,0067,163
SW-50950300,0076,198
SW-50950300,0664,183
SW-50950300,0939,14
SW-50950300,1181,1
SW-50950300,1183,186
SW-50950300,2331,254
SW-50950300,2348,265
SW-50950300,2551,195
SW-50950300,3017,130
SW-50950300,3018,154
SW-50950300,3019,210
SW-50950300,3020,70
SW-50950300,3021,71
SW-50950300,3022,71
SW-50950300,3023,70
SW-50950300,3024,154
SW-50950300,3025,171
SW-50950300,3026,182
SW-50950300,3027,183
SW-50950300,3028,90
SW-50950300,3124,3
SW-50950300,3354,14
SW-50950300,3372,1
SW-50950300,3458,253
SW-50950300,3461,257
SW-50950300,3700,92
SW-50950300,3722,244
SW-50950300,3723,244
SW-50950300,3724,71
SW-50950300,4823,307
SW-50950300,4824,307
SW-50950300,4825,62
SW-50950300,4826,307
SW-50950300,4827,307
SW-50950300,4828,62
SW-50950300,6423,256
SW-50950300,6515,4
SW-50950300,6841,184
SW-50950300,7413,22
SW-50950300,7434,1
SW-50950300,7608,242
SW-50950300,7609,95
SW-50950300,8046,266
SW-50950300,9156,328
SW-50950300,9161,307
SW-50950300,9638,184
SW-50950300,9688,184
SW-50950300,9690,1
SW-50950300,9691,245
SW-50950300,9933,257
SW-50950300,9935,21
SW-50950300,9995,26
SW-50950351,0061,299
SW-50950351,0076,29
SW-50950351,0085,403
SW-50950351,0092,91
SW-50950351,0111,313
SW-50950351,0116,29
SW-50950351,0117,29
SW-50950351,0118,29
SW-50950351,0119,29
SW-50950351,0135,312
SW-50950351,0172,1
SW-50950351,0180,29
SW-50950351,1183,99
SW-50950351,3267,101
SW-50950351,3683,29
SW-50950351,4840,18
SW-50950351,4842,18
SW-50950351,4883,2
SW-50950351,6515,13
SW-50950351,7668,2
SW-50950709,0050,168
SW-50950709,0061,746
SW-50950709,0076,173
SW-50950709,0085,1265
SW-50950709,0092,734
SW-50950709,0105,9
SW-50950709,0108,258
SW-50950709,0111,943
SW-50950709,0116,324
SW-50950709,0117,324
SW-50950709,0118,324
SW-50950709,0119,130
SW-50950709,0135,842
SW-50950709,0172,120
SW-50950709,0180,324
SW-50950709,0483,185
SW-50950709,0487,336
SW-50950709,0491,341
SW-50950709,0495,86
SW-50950709,0499,342
SW-50950709,0511,251
SW-50950709,0551,185
SW-50950709,0555,186
SW-50950709,0559,186
SW-50950709,0562,236
SW-50950709,0570,184
SW-50950709,0576,186
SW-50950709,0581,34
SW-50950709,1181,108
SW-50950709,1183,511
SW-50950709,3164,345
SW-50950709,3267,608
SW-50950709,3328,63
SW-50950709,3334,150
SW-50950709,3373,55
SW-50950709,3527,3
SW-50950709,3683,137
SW-50950709,3915,97
SW-50950709,4840,18
SW-50950709,4842,18
SW-50950709,4883,1
SW-50950709,6037,162
SW-50950709,6050,159
SW-50950709,6051,480
SW-50950709,6057,630
SW-50950709,6452,258
SW-50950709,6455,254
SW-50950709,6462,435
SW-50950709,6515,140
SW-50950709,6648,183
SW-50950709,8942,86
SW-50950709,9050,194
SW-50950709,9051,194
SW-50950709,9052,195
SW-50950709,9494,186
SW-50950709,9686,421
SW-50950709,9989,185
SW-50951010,0052,12
SW-50951010,0061,280
SW-50951010,0062,129
SW-50951010,0076,448
SW-50951010,0077,207
SW-50951010,0085,133
SW-50951010,0092,18
SW-50951010,0106,12
SW-50951010,0111,270
SW-50951010,0116,268
SW-50951010,0117,268
SW-50951010,0118,269
SW-50951010,0119,268
SW-50951010,0135,51
SW-50951010,0158,28
SW-50951010,0162,231
SW-50951010,0163,2
SW-50951010,0164,2
SW-50951010,0172,18
SW-50951010,0180,269
SW-50951010,0182,53
SW-50951010,0211,58
SW-50951010,0237,28
SW-50951010,0239,1
SW-50951010,0241,28
SW-50951010,0301,61
SW-50951010,0348,62
SW-50951010,0664,1
SW-50951010,0729,27
SW-50951010,0939,4
SW-50951010,1183,126
SW-50951010,2331,1
SW-50951010,2348,24
SW-50951010,2551,10
SW-50951010,3026,149
SW-50951010,3027,149
SW-50951010,3028,113
SW-50951010,3267,125
SW-50951010,3354,4
SW-50951010,3408,12
SW-50951010,3409,12
SW-50951010,3410,12
SW-50951010,3458,10
SW-50951010,3461,154
SW-50951010,3533,19
SW-50951010,3537,19
SW-50951010,3683,77
SW-50951010,3703,20
SW-50951010,3722,14
SW-50951010,3723,12
SW-50951010,6423,154
SW-50951010,6450,51
SW-50951010,6455,39
SW-50951010,6458,1
SW-50951010,6460,1
SW-50951010,6515,13
SW-50951010,7434,2
SW-50951010,7608,83
SW-50951010,7609,24
SW-50951010,7887,26
SW-50951010,9901,268
SW-50951010,9924,266
SW-50951010,9933,14
SW-50951010,9935,10
SW-50951080,0085,404
SW-50951080,0092,93
SW-50951080,0111,315
SW-50951080,0135,315
SW-50951080,0172,4
SW-50951080,1181,3
SW-50951080,1183,100
SW-50951080,3267,101
SW-50951080,4838,1
SW-50951080,4840,18
SW-50951080,4842,18
SW-50951080,4883,1
SW-50951080,6515,13
SW-50951082,2927,1
SW-50951082,2928,1
SW-50951082,2929,1
